HostID,HostName,ID,Neighbourhood,Latitude,Longitude,PropertyType,RoomType,Accommodates,BedType,Price,GuestsIncluded,ExtraPeople,MinimumNights,ResponseTime,ResponseRate,NumberofReviews,ReviewRating,ReviewAccuracy,ReviewCleanliness,ReviewCheckin,ReviewCommunication,ReviewLocation,ReviewValue,Bathrooms,Bedrooms,Beds,HostSince,PropertyAge,PriceperPerson,BedsperPerson,BedroomsperPerson,BathroomsperPerson,NumberofRooms,RoomsperPerson,PolyMinPrice,PolyMaxPrice,PolyMeanPrice,DistancetoDam(km)
191980,Koos And Sandra,282108,Centrum-West,52.38166034,4.885651442,Boat,Entire home/apt,2,Real Bed,129,1,0,3,within a few hours,1.0,76,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,2010-08-05,4676,64.5,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.0517693280727611
195126,Babette,1913383,Centrum-Oost,52.36645461,4.895914227,Apartment,Entire home/apt,2,Real Bed,185,1,0,1,within a day,0.76,4,90.0,10.0,9.0,10.0,10.0,10.0,8.0,1.0,1.0,1.0,2010-08-08,4673,92.5,0.5,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,0.781537969379713
195859,Gianni,771758,Slotervaart,52.34832594,4.834530146,Bed & Breakfast,Private room,2,Real Bed,55,1,0,2,within an hour,0.97,24,84.0,8.0,10.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,2010-08-09,4672,27.5,0.5,0.5,0.5,2.0,1.0,5477.0,6162.0,5819.5,4.799422116751229
197355,Pieter-Bas & Sophie,44805,Oostelijk Havengebied - Indische Buurt,52.36089543,4.94636722,Apartment,Private room,3,Real Bed,85,2,38,3,within a few hours,0.9,103,90.0,9.0,8.0,9.0,9.0,8.0,9.0,1.0,1.0,2.0,2010-08-10,4671,28.333333333333332,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,6847.0,8216.0,7531.5,3.9315969117905842
198036,Rebeca,5421998,Centrum-West,52.38761897,4.891701151,Apartment,Entire home/apt,3,Real Bed,145,3,20,1,within a few hours,0.9,2,90.0,10.0,9.0,10.0,10.0,9.0,9.0,1.5,2.0,2.0,2010-08-11,4670,48.333333333333336,0.6666666666666666,0.6666666666666666,0.5,3.5,1.1666666666666667,6847.0,8216.0,7531.5,1.6159491895629812
199266,Anne,45125,Centrum-Oost,52.37402563,4.903188547,Apartment,Entire home/apt,2,Real Bed,135,1,0,3,within a day,1.0,57,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,1.0,2.0,2010-08-12,4669,67.5,1.0,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,0.7554283360000471
200188,George,45246,Westerpark,52.3776764,4.876178649,Apartment,Entire home/apt,2,Real Bed,140,2,20,3,within a few hours,0.86,62,92.0,9.0,9.0,10.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-08-13,4668,70.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.2040735670562035
202005,Annemarie,5150374,De Pijp - Rivierenbuurt,52.3535154,4.90319303,Apartment,Entire home/apt,2,Real Bed,90,1,0,1,within a day,1.0,4,85.0,10.0,9.0,9.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-08-15,4666,45.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,2.3043352521821747
202748,Wouter,45618,Westerpark,52.38891827,4.886309184,Apartment,Entire home/apt,4,Real Bed,105,2,15,4,within a day,1.0,73,95.0,9.0,9.0,10.0,10.0,9.0,9.0,1.0,2.0,3.0,2010-08-16,4665,26.25,0.75,0.5,0.25,3.0,0.75,8216.0,10270.0,9243.0,1.8052991907553129
203202,Sakshin;,983021,De Baarsjes - Oud-West,52.37018233,4.854696051,Apartment,Private room,2,Real Bed,57,2,25,3,within an hour,0.98,32,85.0,9.0,9.0,9.0,9.0,8.0,8.0,1.0,1.0,1.0,2010-08-16,4665,28.5,0.5,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,2.5748629999004913
229241,Dirk,2079528,De Baarsjes - Oud-West,52.37194896,4.863100523,Apartment,Entire home/apt,6,Real Bed,175,4,50,2,within an hour,1.0,18,99.0,9.0,9.0,10.0,10.0,9.0,9.0,1.0,3.0,4.0,2010-09-09,4641,29.166666666666668,0.6666666666666666,0.5,0.16666666666666666,4.0,0.6666666666666666,6847.0,8216.0,7531.5,1.985997327693414
210082,Lisa,4563750,Zuid,52.35265264,4.884013599,Apartment,Entire home/apt,4,Real Bed,160,2,10,3,within a day,0.64,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,2010-08-23,4658,40.0,0.25,0.25,0.25,2.0,0.5,8216.0,10270.0,9243.0,2.3426101031446804
213960,Riek,47333,Centrum-West,52.36847076,4.892625116,Apartment,Entire home/apt,5,Real Bed,135,2,35,3,within an hour,1.0,35,89.0,9.0,9.0,10.0,10.0,10.0,9.0,1.0,2.0,3.0,2010-08-26,4655,27.0,0.6,0.4,0.2,3.0,0.6,8216.0,10270.0,9243.0,0.5159289520445347
213960,Riek,65230,Centrum-West,52.36903004,4.89348239,Apartment,Entire home/apt,5,Real Bed,135,2,35,3,within an hour,1.0,36,89.0,8.0,8.0,9.0,10.0,10.0,8.0,1.0,2.0,5.0,2010-08-26,4655,27.0,1.0,0.4,0.2,3.0,0.6,8216.0,10270.0,9243.0,0.46122772782445476
219080,Franklin,48076,Centrum-West,52.3786461,4.894416994,Apartment,Entire home/apt,6,Real Bed,260,4,30,4,within a day,0.83,24,97.0,9.0,9.0,10.0,10.0,10.0,9.0,2.0,3.0,5.0,2010-08-31,4650,43.333333333333336,0.8333333333333334,0.5,0.3333333333333333,5.0,0.8333333333333334,8216.0,10270.0,9243.0,0.6353393474520633
226808,Johnny & Caroline,261902,Oud-Oost,52.35605073,4.919385692,Apartment,Entire home/apt,4,Real Bed,140,2,20,5,within a day,1.0,21,97.0,9.0,10.0,10.0,10.0,9.0,10.0,2.0,2.0,2.0,2010-09-07,4643,35.0,0.5,0.5,0.5,4.0,1.0,8216.0,10270.0,9243.0,2.6511361610697874
227530,Klaas,49790,De Baarsjes - Oud-West,52.36266379,4.86103174,Boat,Entire home/apt,3,Real Bed,199,2,40,2,within a few hours,1.0,70,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,2.0,2010-09-07,4643,66.33333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,3.0,1.0,8216.0,10270.0,9243.0,2.4198415800230997
227941,Sasha,166520,Oud-Oost,52.35966774,4.926502619,Apartment,Entire home/apt,4,Real Bed,145,2,25,2,within an hour,0.96,45,97.0,10.0,9.0,10.0,10.0,9.0,10.0,1.0,1.0,1.0,2010-09-08,4642,36.25,0.25,0.25,0.25,2.0,0.5,6847.0,8216.0,7531.5,2.7737180152806933
229174,Sabine,190527,De Pijp - Rivierenbuurt,52.35285392,4.890675817,Apartment,Entire home/apt,2,Real Bed,67,2,50,2,within a day,0.7,18,96.0,10.0,9.0,9.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-09-09,4641,33.5,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,2.2552584947526366
